# USGS Open-File Report 93-0280, complete 66-row Superior-Algoma Fe table (PDF pp. 95-96).
# Population rule: all published rows with positive tonnage and Fe; rows are ordered by ascending tonnage, then page/name; percentile=rank/66; every fifth rank is HELD_OUT.
# Columns: source_row_ref|deposit_name|country_code|role|tonnage_percentile|tonnage_mt|fe_pct|p_pct
p95:Mount-Hale|Mount Hale|AUWA|CALIBRATION|0.01515151515151515|1.4|65|0.076
p96:Tallering-Peak|Tallering Peak|AUWA|CALIBRATION|0.0303030303030303|4|68|0.02
p95:Fiskefjord|Fiskefjord|NRWY|CALIBRATION|0.04545454545454546|5|29|0.2
p95:Mount-Gibson|Mount Gibson|AUWA|CALIBRATION|0.06060606060606061|5|68|0.039
p95:Amapa|Amapa|BRZL|HELD_OUT|0.07575757575757576|9|60|0
p95:Kusalpur|Kusalpur|INDA|CALIBRATION|0.09090909090909091|9|52|0.37
p96:Ssu-chia-ying|Ssu-chia-ying|CINA|CALIBRATION|0.1060606060606061|12|34|0.02
p95:Fort-Apache|Fort Apache|USAZ|CALIBRATION|0.1212121212121212|14|47|0.22
p95:Mount-Gould|Mount Gould|AUWA|CALIBRATION|0.1363636363636364|15|67|0.07
p95:Guntur|Guntur|INDA|HELD_OUT|0.1515151515151515|20|40|0
p95:Lohara-Pipalgaon-Asola|Lohara- Pipalgaon- Asola|INDA|CALIBRATION|0.1666666666666667|20|65|0
p96:Weld-Range-Wilgie-Mia|Weld Range- Wilgie Mia|AUWA|CALIBRATION|0.1818181818181818|26|67|0.071
p95:Jussaari|Jussaari|FNLD|CALIBRATION|0.196969696969697|30|27|0.003
p96:Sirigao|Sirigao|INDA|CALIBRATION|0.2121212121212121|36|57|0
p95:Chityal-Kalleda|Chityal- Kalleda|INDA|HELD_OUT|0.2272727272727273|38|40|0
p96:Vestpolltind|Vestpolltind|NRWY|CALIBRATION|0.2424242424242424|40|32|0.3
p96:Porkonen|Porkonen|FNLD|CALIBRATION|0.2575757575757576|50|45|0.38
p95:Bahia|Bahia|BRZL|CALIBRATION|0.2727272727272727|51|60|
p96:Pa-pan-ling|Pa-pan-ling|CINA|CALIBRATION|0.2878787878787879|55|33|0
p95:Mount-Philp|Mount Philp|AUQL|HELD_OUT|0.303030303030303|61|55|0.03
p96:Sangalwara|Sangalwara|INDA|CALIBRATION|0.3181818181818182|61|37|0
p95:Koolyanobbing|Koolyanobbing|AUWA|CALIBRATION|0.3333333333333333|70|61|0.118
p96:Norberg|Norberg|SWKN|CALIBRATION|0.3484848484848485|70|49|0.007
p96:Stripa-Striberg|Stripa- Striberg|SWDN|CALIBRATION|0.3636363636363636|70|49|0.007
p95:Gorumahisani-Badampahar|Gorumahisani- Badampahar|INDA|HELD_OUT|0.3787878787878788|86|62|0.04
p95:Moose-Mountain|Moose Mountain|CNON|CALIBRATION|0.3939393939393939|101|25|0.04
p95:Goulais|Goulais|CNON|CALIBRATION|0.4090909090909091|102|64|0.02
