# USGS Open-File Report 93-0280, Superior-Algoma Fe table (PDF pp. 95-96).
# Audited subset of the combined model table using positive tonnage and Fe values.
# Columns: source_row_ref|deposit_name|country_code|role|tonnage_percentile|tonnage_mt|fe_pct|p_pct
p95:Mount-Hale|Mount Hale|AUWA|CALIBRATION|0.05|1.4|65|0.076
p95:Fiskefjord|Fiskefjord|NRWY|CALIBRATION|0.10|5|29|0.2
p95:Mount-Gibson|Mount Gibson|AUWA|CALIBRATION|0.15|5|68|0.039
p95:Kusalpur|Kusalpur|INDA|HELD_OUT|0.20|9|52|0.37
p95:Fort-Apache|Fort Apache|USAZ|CALIBRATION|0.25|14|47|0.22
p95:Mount-Gould|Mount Gould|AUWA|CALIBRATION|0.30|15|67|0.07
p95:Guntur|Guntur|INDA|CALIBRATION|0.35|20|40|0
p95:Jussaari|Jussaari|FNLD|HELD_OUT|0.40|30|27|0.003
p95:Chityal-Kalleda|Chityal-Kalleda|INDA|CALIBRATION|0.45|38|40|0
p95:Porkonen|Porkonen|FNLD|CALIBRATION|0.50|50|45|0.38
p95:Bahia|Bahia|BRZL|CALIBRATION|0.55|51|60|
p95:Mount-Philp|Mount Philp|AUQL|HELD_OUT|0.60|61|55|0.03
p95:Koolyanobbing|Koolyanobbing|AUWA|CALIBRATION|0.65|70|61|0.118
p95:Moose-Mountain|Moose Mountain|CNON|CALIBRATION|0.70|101|25|0.04
p95:Maria-Luisa|Maria Luisa|VNZL|CALIBRATION|0.75|152|64|0.15
p95:Altamira-Frontera|Altamira-Frontera|VNZL|HELD_OUT|0.80|200|60|0.15
