# USGS Grade and tonnage data for lithium, cesium, and rubidium pegmatite deposits v2.0.
# Cleaned subset of LiCsRb_peg_GT_Deposits.csv (CC0 data release, DOI 10.5066/P13YWFSF).
# Columns: source_row_ref|deposit_name|subtype|role|tonnage_percentile|ore_tonnage_tonnes|li2o_grade_pct|ta2o5_grade_ppm|cutoff_pct
45|Mt. Edon|lepidolite|CALIBRATION|0.03125|3850000|0.1||
25|Karibib (Helikon 1 through 5)|lepidolite|CALIBRATION|0.09375|4030000|0.52|46|0.16
33|King Tamba (Dalgaranga)|lepidolite|CALIBRATION|0.15625|5000000|0.05||0.05
2|Alvarrães|lepidolite|HELD_OUT|0.21875|7693000|0.87|36|0.2
51|Pakeagama Lake (PAK)|spodumene_lepidolite|CALIBRATION|0.28125|9987780|1.96|75|0.67
13|Finniss (BP33)|spodumene|CALIBRATION|0.34375|10100000|1.48||0.5
69|Split Rocks-Rio|eucryptite|CALIBRATION|0.40625|11900000|0.72|59|0.5
64|Separation Rapids (Big Whopper)|petalite|HELD_OUT|0.46875|12890000|1.36|57|0.62
41|Mibra|spodumene|CALIBRATION|0.53125|24511000|1.05|276|
5|Bald Hill|spodumene|CALIBRATION|0.59375|26689000|0.96|121|0.3
1|Adina|spodumene|CALIBRATION|0.65625|58500000|1.12||0.6
3|Arcadia|spodumene_petalite|HELD_OUT|0.71875|72700000|1.06|97|
75|Uis|petalite|CALIBRATION|0.78125|98110000|0.73|90|
6|Bikita|petalite_spodumene|CALIBRATION|0.84375|119082000|1.04|186|
38|Manono (Carriere de l'Este)|spodumene|CALIBRATION|0.90625|175990000|1.58|82|0.5
19|Greenbushes|spodumene|HELD_OUT|0.96875|261097000|1.93||0.7
