# USGS Open-File Report 93-0280, complete 83-row Placer Pt-Au table (PDF pp. 60-61).
# Population rule: all published rows with positive tonnage; rows are ordered by ascending tonnage, then page/name; percentile=rank/83; every fifth rank is HELD_OUT. Zero reported grades remain explicit values.
# Columns: source_row_ref|deposit_name|country_code|district|role|tonnage_percentile|tonnage_mt|pt_ppb|au_gpt|os_ppb|ir_ppb|pd_ppb
p60:Kisslaia-Peruonatchainik|Kisslaia- Peruonatchainik|URRS|Jerritt Canyon|CALIBRATION|0.01204819277108434|0.0018|2970|0|0|0|0
p60:Bielgorsky-Log|Bielgorsky Log|URRS|Potosi|CALIBRATION|0.02409638554216868|0.002|8660|0|184|0|0
p61:Nikolai-Tschoudotworsky|Nikolai- Tschoudotworsky|URRS||CALIBRATION|0.03614457831325301|0.0032|1230|0|0|0|0
p60:Arkhangelskii-Log|Arkhangelskii Log|URRS|Carlin-Lynn|CALIBRATION|0.04819277108433735|0.0041|1480|0|0|0|0
p60:Kamenka-R|Kamenka R.|URRS|Jerritt Canyon|HELD_OUT|0.06024096385542169|0.0044|1850|0|0|0|0
p60:Jerusalimsky-Priik|Jerusalimsky-Priik|URRS||CALIBRATION|0.07228915662650602|0.0049|800|0|0|0|0
p61:Verkho-Tourie|Verkho-Tourie|URRS||CALIBRATION|0.08433734939759036|0.008|980|0|0|0|0
p61:Phedinan-R-Triok|Phedinan R.-Triok|URRS||CALIBRATION|0.0963855421686747|0.0086|2750|2.06|0|0|0
p61:Soukhoi-Log|Soukhoi Log|URRS||CALIBRATION|0.108433734939759|0.010|4380|0.023|0|0|0
p60:Gloubokia-2|Gloubokia 2|URRS|Carlin-Lynn|HELD_OUT|0.1204819277108434|0.015|6170|0|0|0|0
p60:Krutoi-Log|Krutoi Log|URRS||CALIBRATION|0.1325301204819277|0.0166|1970|0|2.8|0|0
p61:Panowka|Panowka|URRS||CALIBRATION|0.144578313253012|0.0177|1970|0|0|0|0
p61:Malaia-Sosnowka|Malaia Sosnowka|URRS||CALIBRATION|0.1566265060240964|0.0182|2220|0|0|0|0
p61:Patchek|Patchek|URRS||CALIBRATION|0.1686746987951807|0.0192|1970|0|0|0|0
p61:Small-unnamed-Weressowy|Small unnamed- Weressowy|URRS||HELD_OUT|0.1807228915662651|0.0218|1850|0|0|0|0
p61:Molitchowka|Molitchowka|URRS||CALIBRATION|0.1927710843373494|0.0264|2833|0|0|0|0
p61:Malomalsky-Priisk|Malomalsky-Priisk|URRS||CALIBRATION|0.2048192771084337|0.03|1280|0|0|0|0
p61:Pestchanka-R|Pestchanka R.|URRS||CALIBRATION|0.2168674698795181|0.031|2290|0|0|0|0
p61:Suftlii-Bor-Log1|Suftlii Bor Log1|URRS||CALIBRATION|0.2289156626506024|0.031|4570|0|0|0|0
