# USGS Open-File Report 93-0280, Placer Pt-Au table (PDF pp. 60-61).
# Audited subset using positive tonnage, Pt, and Au values; companion PGE values remain in row metadata.
# Columns: source_row_ref|deposit_name|country_code|district|role|tonnage_percentile|tonnage_mt|pt_ppb|au_gpt|os_ppb|ir_ppb|pd_ppb
p61:Phedinan-R-Triok|Phedinan R.-Triok|URRS||CALIBRATION|0.05|0.0086|2750|2.06|0|0|0
p61:Soukhoi-Log|Soukhoi Log|URRS||CALIBRATION|0.10|0.010|4380|0.023|0|0|0
p61:Podmoskowoi-Log|Podmoskowoi-Log|URRS||CALIBRATION|0.15|0.0479|1780|0.021|0|0|0
p60:Main-Valley-of-Kisslaia|Main Valley of Kisslaia|URRS|Carlin-Lynn|HELD_OUT|0.20|0.0584|1180|0.59|0|0|0
p61:Trudny-Log|Trudny-Log|URRS||CALIBRATION|0.25|0.065|3890|0.12|0|0|0
p60:Bolshaya-Ossokina-R|Bolshaya Ossokina R.|URRS|Carlin-Lynn|CALIBRATION|0.30|0.0866|2970|0.178|0|0|0
p60:Bolshoi-Sakciam|Bolshoi Sakciam|URRS|Potosi|CALIBRATION|0.35|0.125|1600|0.4|0|0|0
p61:Novoi-Log|Novoi-Log|URRS||HELD_OUT|0.40|0.177|463|0.0787|0|0|0
p60:Bolshaya-Kamenouchka|Bolshaya Kamenouchka|URRS|Carlin-Lynn|CALIBRATION|0.45|0.197|2060|0.031|100|37|3.7
p61:Malot-Pokap|Malot Pokap|URRS||CALIBRATION|0.50|0.34|3130|0.031|75|0|0
p60:Jourawlik-R|Jourawlik R.|URRS||CALIBRATION|0.55|0.575|3750|0.038|0|0|0
p60:Kitlim-Severniy-R|Kitlim, Severniy R.|URRS|Jerritt Canyon|HELD_OUT|0.60|1.01|620|0.0004|6|12|2.5
p60:Bobrowka-River|Bobrowka River|URRS|Potosi|CALIBRATION|0.65|1.275|2.3|0.0009|0.03|0.04|0.01
p60:Bolshoi-Pokap-R|Bolshoi Pokap R.|URRS|Potosi|CALIBRATION|0.70|2.22|3080|0.154|31|0|15.4
p60:Malaia-Koswa-R|Malaia Koswa R.|URRS||CALIBRATION|0.75|3.28|197|0.006|2|4|0
p61:Wyssim-R|Wyssim R.|URRS||HELD_OUT|0.80|3.880|206|0.0062|1.9|0|0.3
