# USGS Open-File Report 2008-1155 PorCuTX2008.txt cleaned review subset.
# Columns: source_row_ref|subtype|role|tonnage_percentile|tonnage_Mt|cu_grade_pct|mo_grade_pct
# Values retain the source deposit IDs and subtype codes. The importer converts Cu/Mo percent to mass_fraction.
151|21a|CALIBRATION|0.0357142857142857|114|0.29|0.018
397|17|CALIBRATION|0.1071428571428571|125|0.56|0.025
158|21a|CALIBRATION|0.1785714285714286|227|0.16|0.039
130|21a|HELD_OUT|0.25|238|0.4|0.031
120|20c|CALIBRATION|0.3214285714285714|263.4|0.39|0.005
326|17|CALIBRATION|0.3928571428571429|300|0.37|0.06
392|17|CALIBRATION|0.4642857142857143|450|0.36|0.022
124|20c|HELD_OUT|0.5357142857142857|495|0.36|0.005
109|20c|CALIBRATION|0.6071428571428571|523|0.35|0.0019
107|20c|CALIBRATION|0.6785714285714286|540.7|0.554|0.0007
317|17|HELD_OUT|0.75|553|0.54|0.016
150|21a|CALIBRATION|0.8214285714285714|677|0.45|0.016
395|17|CALIBRATION|0.8928571428571429|1700|0.27|0.055
323|17|HELD_OUT|0.9642857142857143|1761|0.42|0.033
