# USGS Scientific Investigations Report 2010-5090-S PotashXL deposit rows.
# Complete qualifying table of 102 of 981 sites: positive first numeric RR_ORE_MT and RR_K2O_PCT bounds.
# Columns: source_id|deposit_name|subtype|role|tonnage_percentile|rr_ore_mt|rr_k2o_pct|bed_depth_m|basin|k_minerals|unit|depth_source_text|resource_status|country|type_record|rr_ore_source_text|rr_k2o_source_text|rr_refs
725|Llobregat|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.00980392156863|0.65|15.6|300|South Pyrenean|sylvite, carnallite, polyhalite|Cardona Fm|300-400|Active Production (2010)|Spain|mine|0.65 + 51 prob + 65 poss|15.6|Vazquez Guzman (1989)
730|Suria|halokinetic potash-bearing salt|CALIBRATION|0.0196078431373|0.8|16|550|South Pyrenean|sylvite, carnallite, polyhalite|Cardona Fm|550-880|Active Production (2010)|Spain|grouped mines/occurrences|0.8 + 5 prob + 157 poss|16|Vazquez Guzman (1989)
507|Marada|evaporite|CALIBRATION|0.0294117647059|1.6|40||Marada|brine, carnallite|||Small Past Production|Libya|area|1.6|40|Goudarzi (1982)
770|North Gaurdak|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.0392156862745|3.8|19.5||Central Asia Salt Basin||Gaurdak Fm||None|Turkmenistan|area|3.8 C2|19.5|Fedin (1981)
296|Mariagluck|halokinetic potash-bearing salt|HELD_OUT|0.0490196078431|4|17.5||Zechstein|sylvite, hartsalz|Zechstein Group||Past Production|Germany|mine|>4 prov|17.5|Wood (1946)
564|Calu|halokinetic potash-bearing salt|CALIBRATION|0.0588235294118|5.6|7||Carpathian|sylvite, kainite, langbeinite, polyhalite|Vorotyshcha Fm||Not Determined|Romania|area|5.6 tot geol|7|Stoica and Gherasie (1981)
519|Tancamichapa|halokinetic potash-bearing salt|CALIBRATION|0.0686274509804|12|14|500|Gulf of Mexico|brine, sylvite, carnallite|Salina Fm|500|None|Mexico|mineral occurrence|12|14|Notholt (1983)
905|Redd Ranch|halokinetic potash-bearing salt|CALIBRATION|0.078431372549|12.3|20||Paradox||Hermosa Fm-Paradox Mbr||None|United States of America|mineral occurrence|12.3|20|British Sulphur (1984)
573|Mesteacan|halokinetic potash-bearing salt|CALIBRATION|0.0882352941176|14|7||Carpathian|sylvite, kainite, langbeinite, polyhalite|Vorotyshcha Fm||Not Determined|Romania|area|14 tot geol|7|Stoica and Gherasie (1981)
166|Holle|stratabound potash-bearing salt|HELD_OUT|0.0980392156863|17|18|400|Lower Congo|brine, sylvite, carnallite|Loeme Fm|400-700|Past Production|Congo|mine|min: 17 (syl layer 7/8) + 26 (syl layer 3)|18 (layer 7/8) to 38 (layer 3)|de Ruiter (1979)
529|Khemisset|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.107843137255|17|11||Khemisset|sylvite, carnallite, rinneite, polyhalite, douglasite|Lower Salt Fm||None|Morocco|basin|17 syl ore, 180 car ore|11, 9.5|Barodi and others (1998)
439|Inder Area XI|halokinetic potash-bearing salt|CALIBRATION|0.117647058824|23.3|13.66||Pricaspian|polyhalite, sylvite, carnallite, langbeinite, kainite|Iren Fm or equivalent||None|Kazakhstan|area|23.3 prob|13.66, 14.87|Diarov and others (1983)
767|Lyalimkan|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.127450980392|24|19.9||Central Asia Salt Basin|sylvite, carnallite|Gaurdak Fm||None|Turkmenistan|area|24 C2|19.9|Fedin (1981)
493|Nahe|stratabound potash-bearing salt|CALIBRATION|0.137254901961|26|10.7||Sakhon Nakhon|carnallite, sylvite|Maha Sarakham Fm||None|Lao People's Democratic Republic|deposit|26 res|10.7|Marutani (2006)
871|Mosaic Nash Draw|stratabound potash-bearing salt|HELD_OUT|0.147058823529|28.85|6.9|328|Permian|langbeinite, sylvite, polyhalite|Salado Fm|lang: 328; syl: 274|Active Production (2008)|United States of America|mine|28.85 rec|6.9-9|British Sulphur (1984)
723|Cardona|halokinetic potash-bearing salt|CALIBRATION|0.156862745098|30|16|1025|South Pyrenean|sylvite, carnallite, polyhalite|Cardona Fm|up to 1025|Past Production (1990)|Spain|mine|30 + 300 prob + 300 poss|16, 15, 15|Vazquez Guzman (1989)
563|Biserica Slanic|halokinetic potash-bearing salt|CALIBRATION|0.166666666667|33|7||Carpathian|sylvite, kainite, langbeinite, polyhalite|Vorotyshcha Fm||Not Determined|Romania|area|33 tot geol|7|Stoica and Gherasie (1981)
565|Cerdac|halokinetic potash-bearing salt|CALIBRATION|0.176470588235|35|7||Carpathian|sylvite, kainite, langbeinite, polyhalite|Vorotyshcha Fm||Not Determined|Romania|area|35 tot geol|7|Stoica and Gherasie (1981)
446|Central Kurgantau|halokinetic potash-bearing salt|CALIBRATION|0.186274509804|37.4|14.86||Pricaspian|polyhalite, sylvite, carnallite, langbeinite, kainite|Iren Fm or equivalent||None|Kazakhstan|area|37.4 prob|14.86|Diarov and others (1983)
568|Cut|halokinetic potash-bearing salt|HELD_OUT|0.196078431373|37.6|7||Carpathian|sylvite, polyhalite, kainite|Vorotyshcha Fm||Not Determined|Romania|area|37.6 tot geol|7|Stoica and Gherasie (1981)
112|Langham|stratabound potash-bearing salt|CALIBRATION|0.205882352941|45.6|31||Elk Point|sylvite|Prairie Evaporite-Patience Lake Mbr||None|Canada|lease/concession/permit area|ind+inf: Patience Lake 45.6, Belle Plaine 246|31.0, 20.8|Hardy, Hambley and Crawford (2009)
497|Thagone|stratabound potash-bearing salt|CALIBRATION|0.21568627451|50.344|9.1|78|Sakhon Nakhon|sylvite, carnallite|Maha Sarakham Fm|78-353|None|Lao People's Democratic Republic|deposit|1) 50.344 res; 2) 1384 inf, 48700 P1+P2|1) 9.1|1) Marutani (2006); 2) Lao Dept. of Geology and Mines (2000)
349|Unterbreizbach|stratabound potash-bearing salt|CALIBRATION|0.225490196078|52.5|27||Zechstein|sylvite, carnallite, hartsalz|Zechstein Group||Active Production (2005)|Germany|mine|52.5 syl|27|Zapp and Lindloff (2003)
441|Inder Area III|halokinetic potash-bearing salt|CALIBRATION|0.235294117647|53.157|19.26||Pricaspian|polyhalite, sylvite, carnallite, langbeinite, kainite|Iren Fm or equivalent||None|Kazakhstan|area|53.157 prob|19.26|Diarov and others (1983)
566|Cucueti Vest|halokinetic potash-bearing salt|HELD_OUT|0.245098039216|64.5|7||Carpathian|sylvite, kainite, langbeinite, polyhalite|Vorotyshcha Fm||Not Determined|Romania|area|64.5 tot geol|7|Stoica and Gherasie (1981)
212|Musely|stratabound potash-bearing salt|CALIBRATION|0.254901960784|66.28|20.15||Danikil|kainite, carnallite, sylvite, polyhalite|Houston Fm||Small Past Production|Ethiopia|mine|prov: 66.28 A, 32.331 B, 61.897 C1+C2|20.15, 20.7, 19.0|Van Kauwenbergh (2006)
70|Santa Rosa de Lima|stratabound potash-bearing salt|CALIBRATION|0.264705882353|66.9|23.13||Sergipe|carnallite, sylvite|Muribeca Fm-Ibura Mbr||None|Brazil|area|66.9 in situ|23.13|Friedrich (1997)
867|Carlsbad-Lea Mine|stratabound potash-bearing salt|CALIBRATION|0.274509803922|67.1|16|495|Permian|sylvite, carnallite, polyhalite|Salado Fm|495|Past Production|United States of America|mine|67.1|16|British Sulphur (1984)
570|Galeanu|halokinetic potash-bearing salt|CALIBRATION|0.28431372549|69|7|100|Carpathian|kainite, sylvite, langbeinite, carnallite, polyhalite|Vorotyshcha Fm|100-230|Not Determined|Romania|area|69 tot geol|7|Stoica and Gherasie (1981)
444|Dzhien-Kazgantau|halokinetic potash-bearing salt|HELD_OUT|0.294117647059|71.1|14.35||Pricaspian|polyhalite, sylvite, carnallite, langbeinite, kainite|Iren Fm or equivalent||None|Kazakhstan|area|71.1 prob|14.35|Diarov and others (1983)
471|Shugul|halokinetic potash-bearing salt|CALIBRATION|0.303921568627|71.6|14.88||Pricaspian|sylvite, polyhalite, carnallite, kainite|Iren Fm or equivalent||None|Kazakhstan|area|71.6 prob|14.88|Diarov and others (1983)
442|Inder Area IV|halokinetic potash-bearing salt|CALIBRATION|0.313725490196|72.085|18.03||Pricaspian|polyhalite, sylvite, carnallite, langbeinite, kainite|Iren Fm or equivalent||None|Kazakhstan|area|72.085 prob|18.03|Diarov and others (1983)
553|Klodawa|halokinetic potash-bearing salt|CALIBRATION|0.323529411765|72.9|8.5||Zechstein|carnallite, sylvite|Zechstein Group||Past Production|Poland|mine|72.9 tot|8.5|Czaposki and Bukowski (2009)
569|Frumoasa|halokinetic potash-bearing salt|CALIBRATION|0.333333333333|77|7||Carpathian|sylvite, kainite, langbeinite, polyhalite|Vorotyshcha Fm||Not Determined|Romania|area|77 tot geol|7|Stoica and Gherasie (1981)
91|Malagash|halokinetic potash-bearing salt|HELD_OUT|0.343137254902|80|4.9||Maritimes|carnallite, sylvite|Windsor Group||None|Canada|area|80 prov|4.9|Canada Department of Energy, Mines, and Resources (1984)
859|Amax|stratabound potash-bearing salt|CALIBRATION|0.352941176471|81.65|26.5|120|Permian|sylvite, carnallite, polyhalite|Salado Fm|120|Past Production|United States of America|mine|1) 81.65; 2) 66.2|1) 26.5; 2)18-19|1) British Sulphur (1975); 2) British Sulphur (1984)
362|Bharusari|stratabound potash-bearing salt|CALIBRATION|0.362745098039|88.16|5.62||Nagaur|polyhalite, sylvite, langbeinite, carnallite|Hanseran Evaporite Group||None|India|area|88.16 prob + 300.15 poss|5.62|Kumar and Bakliwal (2005)
447|Kshi-Kurgantau|halokinetic potash-bearing salt|CALIBRATION|0.372549019608|91.3|14.69||Pricaspian|polyhalite, sylvite, carnallite, langbeinite, kainite|Iren Fm or equivalent||None|Kazakhstan|area|91.3 prob|14.69, 15.87|Diarov and others (1983)
771|Okuzbulak|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.382352941176|96|18.3||Central Asia Salt Basin|sylvite, aphthitalite|Gaurdak Fm||None|Turkmenistan|area|1) 96 A+B+C1; 2) 765|1) 18.3; 2) 11.8|1) Fedin (1981); 2) Rayevskiy and Fiveg (1973)
758|Gaurdak|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|HELD_OUT|0.392156862745|106.3|19|60|Central Asia Salt Basin|sylvite, carnallite|Gaurdak Fm|60-450|None|Turkmenistan|mine|106.3 A+B+C1|19|Fedin (1981)
365|Lakhasar|stratabound potash-bearing salt|CALIBRATION|0.401960784314|113.73|5.27||Nagaur|polyhalite, sylvite, langbeinite, carnallite|Hanseran Evaporite Group||None|India|area|113.73 prob + 342.29 poss|5.27|Kumar and Bakliwal (2005)
495|Nonglom|stratabound potash-bearing salt|CALIBRATION|0.411764705882|139|11.6||Sakhon Nakhon|carnallite, sylvite|Maha Sarakham Fm||None|Lao People's Democratic Republic|deposit|139 res|11.6|Marutani (2006)
764|Kugitang|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.421568627451|144|9.8||Central Asia Salt Basin|carnallite, sylvite|Gaurdak Fm||None|Turkmenistan|area|1) 144 C2; 2) 144|2) 9.8-15.9|1) Fedin (1981); 2) Rayevskiy and Fiveg (1973)
571|Gircoina Pietra Neamt|halokinetic potash-bearing salt|CALIBRATION|0.43137254902|148|7||Carpathian|sylvite, kainite, langbeinite, polyhalite|Vorotyshcha Fm||Not Determined|Romania|area|148 tot geol|7|Stoica and Gherasie (1981)
443|Inder Deposit 99|halokinetic potash-bearing salt|HELD_OUT|0.441176470588|152.9|9.7||Pricaspian|polyhalite, sylvite, carnallite, langbeinite, kainite|Iren Fm or equivalent||None|Kazakhstan|area|152.9 prob|9.7|Diarov and others (1983)
76|Russell-Binscarth|stratabound potash-bearing salt|CALIBRATION|0.450980392157|154.2|24.5||Elk Point|sylvite, carnallite|Prairie Evaporite-Esterhazy Mbr||None|Canada|lease/concession/permit area|154.2 prob|24.5|Bamburak (2007)
209|Danikil|stratabound potash-bearing salt|CALIBRATION|0.460784313725|160|20||Danikil||Houston Fm||Small Past Production|Ethiopia|basin|160 est|20-25|Tadesse and others (2003)
866|Intrepid West|stratabound potash-bearing salt|CALIBRATION|0.470588235294|179.6|11||Permian|sylvite, langbeinite, polyhalite, leonite|Salado Fm||Active Production (2008)|United States of America|mine|179.6 prov|11|British Sulphur (1984)
727|Perdon|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.480392156863|180|23||South Pyrenean|sylvite, carnallite, polyhalite|Guendulain Fm||Past Production|Spain|mine|180 syl + 210 car|syl-23, car-21|Vazquez Guzman (1989)
366|Satipura|stratabound potash-bearing salt|HELD_OUT|0.490196078431|202.3|5.76||Nagaur|polyhalite, sylvite, langbeinite, carnallite|Hanseran Evaporite Group||None|India|area|202.3 prob + 1429.95 poss|5.76|Kumar and Bakliwal (2005)
892|Cane Creek|halokinetic potash-bearing salt|CALIBRATION|0.5|208.6|20|1200|Paradox|sylvite, carnallite|Hermosa Fm-Paradox Mbr|1200|Active Production|United States of America|mine|208.6|20-30|British Sulphur (1984)
107|Cory|stratabound potash-bearing salt|CALIBRATION|0.509803921569|217|24.7|1000|Elk Point|sylvite|Prairie Evaporite-Patience Lake Mbr|1000|Active Production (2009)|Canada|mine|217 prov+prob, 4242 meas+ind+inf|24.7, 22.8|Moore and others (2010b)
562|Baltatesti Cracaoani|halokinetic potash-bearing salt|CALIBRATION|0.519607843137|218|7||Carpathian|sylvite, kainite, langbeinite, polyhalite|Vorotyshcha Fm||Not Determined|Romania|area|218 tot geol|7|Stoica and Gherasie (1981)
744|Somboon|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.529411764706|225|24|350|Sakon Nakhon|carnallite, sylvite|Maha Sarakham Fm|350|None|Thailand|area|225 meas+ind|24|Industrial Minerals (2002b)
106|Colonsay|stratabound potash-bearing salt|HELD_OUT|0.539215686275|228.4|26.5|1030|Elk Point|sylvite, carnallite|Prairie Evaporite-Patience Lake Mbr|1030|Active Production (2009)|Canada|mine|228.4 rec, 75 poten rec|26.5|Mosaic (2009)
79|Clover Hill|halokinetic potash-bearing salt|CALIBRATION|0.549019607843|230|28|600|Maritimes|sylvite|Windsor Group-Cassidy Lake Fm|600-1000|Past Production|Canada|mine|>230 prov+prob+poss|28|Webb (2009)
80|Millstream|halokinetic potash-bearing salt|CALIBRATION|0.558823529412|256|20.6|800|Maritimes|sylvite, carnallite|Windsor Group-Cassidy Lake Fm|800-1000|None|Canada|area|256 geol|20.6|Webb (2009)
918|Akbash|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.56862745098|266.5|12||Central Asia Salt Basin|sylvite, carnallite|Gaurdak Fm||None|Uzbekistan|area|266.5 C2|12|Fedin (1981)
