# USGS Scientific Investigations Report 2010-5090-S PotashXL deposit rows.
# Audited subset of PotashDeposits.xlsx (16 of 981 sites) using positive RR_ORE_MT and RR_K2O_PCT.
# Columns: source_id|deposit_name|subtype|role|tonnage_percentile|rr_ore_mt|rr_k2o_pct|bed_depth_m|basin|k_minerals|unit|depth_source_text|resource_status
519|Tancamichapa|halokinetic potash-bearing salt|CALIBRATION|0.05|12|14|500|Gulf of Mexico|brine, sylvite, carnallite|Salina Fm|500|None
871|Mosaic Nash Draw|stratabound potash-bearing salt|CALIBRATION|0.10|28.85|6.9|328|Permian|langbeinite, sylvite, polyhalite|Salado Fm|lang: 328; syl: 274|Active Production (2008)
723|Cardona|halokinetic potash-bearing salt|CALIBRATION|0.15|30|16|1025|South Pyrenean|sylvite, carnallite, polyhalite|Cardona Fm|up to 1025|Past Production (1990)
570|Galeanu|halokinetic potash-bearing salt|HELD_OUT|0.20|69|7|100|Carpathian|kainite, sylvite, langbeinite, carnallite, polyhalite|Vorotyshcha Fm|100-230|Not Determined
758|Gaurdak|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.25|106.3|19|60|Central Asia Salt Basin|sylvite, carnallite|Gaurdak Fm|60-450|None
892|Cane Creek|halokinetic potash-bearing salt|CALIBRATION|0.30|208.6|20|1200|Paradox|sylvite, carnallite|Hermosa Fm-Paradox Mbr|1200|Active Production
744|Somboon|mixed stratabound potash-bearing salt and halokinetic potash-bearing salt|CALIBRATION|0.35|225|24|350|Sakon Nakhon|carnallite, sylvite|Maha Sarakham Fm|350|None
79|Clover Hill|halokinetic potash-bearing salt|HELD_OUT|0.40|230|28|600|Maritimes|sylvite|Windsor Group-Cassidy Lake Fm|600-1000|Past Production
126|Vade|stratabound potash-bearing salt|CALIBRATION|0.45|437.7|24.73|1143|Elk Point|sylvite, carnallite|Prairie Evaporite-Patience Lake Mbr|1143|Active Production
837|Boulby|stratabound potash-bearing salt|CALIBRATION|0.50|500|27|1000|Zechstein|sylvite, polyhalite, carnallite|Zechstein Group-Boulby Halite|1000-2700|Active Production
63|Arari|stratabound potash-bearing salt|CALIBRATION|0.55|527.14|11|980|Amazonas|sylvite|Nova Olinda Fm|980-1290|None
65|Fazendinha|stratabound potash-bearing salt|HELD_OUT|0.60|560|17|980|Amazonas|sylvite, polyhalite, langbeinite, kainite, leonite|Nova Olinda Fm|980-1130|None
207|Colluli|stratabound potash-bearing salt|CALIBRATION|0.65|564|11.3|20|Danikil|carnallite, sylvite|Houston Fm|20-350|None
71|Taquari-Vassouras|stratabound potash-bearing salt|CALIBRATION|0.70|810|24.79|500|Sergipe|carnallite, sylvite|Muribeca Fm-Ibura Mbr|500-850|Active Production (2006)
642|Nepa|stratabound potash-bearing salt|CALIBRATION|0.75|1700|22|600|East Siberian|sylvite, carnallite|Angara Fm-Gazhen beds|600-1300|Under Development (2000)
103|Belle-Plaine|stratabound potash-bearing salt|HELD_OUT|0.80|2866|18|1500|Elk Point|sylvite, carnallite|Prairie Evaporite-Patience Lake Mbr-Belle Plaine Mbr-Esterhazy Mbr|1500|Active Production
