# USGS Open-File Report 2009-1034 VMS.tab source rows.
# Complete qualifying table of 608 of 1,090 records: positive tonnage, Cu, and Zn fields.
# Columns: source_row_ref|deposit_name|country_code|country|district_code|state_or_province|deposit_type|role|tonnage_percentile|tonnage_mt|cu_grade_pct|zn_grade_pct|pb_grade_pct|au_grade_gpt|ag_grade_gpt|tonnage_source_text|cu_source_text|zn_source_text|pb_source_text|au_source_text|ag_source_text|stringer_zone|comments|mineralogy|host_rocks|reference_excerpt
VMS.tab:471|Wainaleka|FIJI|Fiji|FIJI|Viti Levu Island|Bimodal-Mafic|CALIBRATION|0.00164473684211|0.01|1.5|5.0|0|0|10.0|0.01|1.5|5.0|0|0|10.0|yes|Massive lens with undefined stockwork zone beneath. 100 m strike length, 5 m average thickness, 120 m depth. Low K island arc tholeiitic affinity.|barite, bornite, chalcopyrite, covellite, galena, gypsum, pyrite, sphalerite, tetrahedrite|sodic rhyolite|Colley, H., and Greenbaum, D., 1980, The mineral deposits and metallogenesis of the Fiji Platform: Economic Geology, v. 75, no. 6, p. 807Ð829. Geological Survey, Fiji, 1965, Geological map of Fiji: scale 1:500,000. Rugless, C.S., 1983, Lith
VMS.tab:955|Vindelgransele|SWDN|Sweden|SWDN||Felsic|CALIBRATION|0.00328947368421|0.01|0.23|16.6|3.7|1.0|145.0|0.01|0.23|16.6|3.7|1.0|145.0|n.d.|26.5% S.|n.d.|metarhyolite, metadacite|Bergstr m, U., and Str ng, T., 1999, Berggrundskartan 231 Mal SV: Sveriges geologiska unders kning Ai 116, scale 1:50,000 (in Swedish).
VMS.tab:1040|Quail Hill|USCA|United States|USCA|California|Felsic|CALIBRATION|0.00493421052632|0.01|3.7|8.8|0.55|10.5|180.0|0.01|3.7|8.8|0.55|10.5|180.0|no|Pod-shaped and lenticular masses, 54 m pitch length. pyrite envelope.|azurite, barite, chalcocite, chalcopyrite, chlorite, chrysocolla, copper, cuprite, galena, gold, kaolinite, limonite, magnetite, malachite, pyrite, silver, sphalerite|rhyolite breccia|Clark, W.B., and Lydon, P.A., 1962, Mines and mineral resources of Calaveras County, California: California Division of Mines and Geology County Report 2, 217 p. Heyl, G.R., 1948, The zinc-copper mines of the Quail Hill area, Calaveras Coun
VMS.tab:654|Anna|NRWY|Norway|NRWY||Bimodal-Mafic|CALIBRATION|0.00657894736842|0.02|2.0|0.5|0|0|0|0.02|2.0|0.5|0|0|0|no|Massive, 0.001 km thickness. Marginal back-arc rift, ensimatic.|anhydrite, antimony, arsenopyrite, biotite, bournonite, carbonate, chalcopyrite, chlorite, cubanite, feldspar, galena, gold, hornblende, ilmenite, kyanite, mackinawite, magnetite, molybdenite, muscovite, pyrite, pyrrhotite, rutile, sericite, silver, sphalerite, tetrahedrite, valleriite|basalt tuff, basalt tuff|Beyschlag, F., Vogt, J.H.L., Krusch, P., and Truscott, S.J., 1914, The deposits of the useful minerals and rocks: London, MacMillan and Co., Ltd. , v. 1, 514 p. Franklin, J.M., Lydon, J.W., and Sangster, D.F., 1981, Volcanic-associated mass
VMS.tab:924|Bjurtrask|SWDN|Sweden|SWDN||Felsic|HELD_OUT|0.00822368421053|0.02|3.5|6.6|0|1.28|20.0|0.02|3.5|6.6|0|1.28|20.0|yes|Massive, dissemination.|arsenopyrite, biotite, chalcopyrite, chlorite, epidote, garnet, hematite, hornblende, ilmenite, magnetite, marcasite, plagioclase, pyrite, pyrrhotite, sericite, sphalerite, valleriite|quartz keratophyre agglomerate|Gavelin, Sven, 1939, Geology and ores of the Malanas district, Vasterbotten, Sweden: Sveriges Geologiska Undersokning, ser. C, no. 424, 221 p. Grip, E., 1978, Sweden, in Notholt, A.J.G., and Jones, M.J., eds., Mineral deposits of Europe, v.
VMS.tab:65|Bico de Pedra|BRZL|Brazil|BRZL|Minas Gerais|Bimodal-Mafic|CALIBRATION|0.00986842105263|0.03|0.36|1.53|0.52|1.45|44.0|0.03|0.36|1.53|0.52|1.45|44.0|no|Massive layers and lenses, disseminations, 10s m thick orebodies, individual layers up to 50 cm and 2 m thick, pyrite-rich bands, concordant with mylonitic foliation. Zoned with Cu-Au base, Zn-Pb top.|biotite, bismuth, carbonate, chalcopyrite, galena, pyrite, pyrrhotite, sericite, sphalerite|schist (trondjemite, mafic rocks)|Lobato, L.M., Baars, F.J., Jost, Hardy, Da Silva, M.D.G., Cunha, J.C., and Carvalho, S.G., 2000, The potential for volcanogenic massive sulphide deposits in the magmatic-arc-related volcano-sedimentary belts in and around S o Francisco Crat
VMS.tab:663|Fjeldgruve|NRWY|Norway|NRWY||Bimodal-Mafic|CALIBRATION|0.0115131578947|0.03|1.85|3.7|0|0|0|0.03|1.85|3.7|0|0|0|no|Massive elongate sheet, 0.001 km thickness, 50 m width. Marginal back-arc rift, ensimatic.|anhydrite, antimony, arsenopyrite, biotite, bournonite, carbonate, chalcopyrite, chlorite, cubanite, feldspar, galena, gold, hornblende, ilmenite, kyanite, mackinawite, magnetite, molybdenite, muscovite, pyrite, pyrrhotite, rutile, sericite, silver, sphalerite, tetrahedrite, valleriite|pillow basalt, quartz keratophyre tuff|Beyschlag, F., Vogt, J.H.L., Krusch, P., and Truscott, S.J., 1914, The deposits of the useful minerals and rocks: London, MacMillan and Co., Ltd. , v. 1, 514 p. Franklin, J.M., Lydon, J.W., and Sangster, D.F., 1981, Volcanic-associated mass
VMS.tab:14|Kangiara|AUNS|Australia|AUNS|New South Wales|Felsic|CALIBRATION|0.0131578947368|0.04|3.0|1.19|16.0|2.0|279.0|0.04|3.0|1.19|16.0|2.0|279.0|n.d.|Lenticular, massive, fragmental, disseminated, vein. 0.3-3.7 m thick, average 1.2 m.|azurite, barite, bismuth, bismuthinite, chalcocite, chalcopyrite, covellite, digenite, electrum, galena, malachite, marcasite, pyrite, sericite, silver, sphalerite, tetrahedrite|rhyolite tuff|Felton, E.A., 1974, Goulburn: Geological Survey of New South Wales Metallogenic Map Series Sheet 51/55-12, scale 1:250,000. Felton, E.A., 1975, Part 1. Mine data sheets to accompany metallogenic map, Goulburn 1:250,000 Sheet: Geological Sur
VMS.tab:470|Undu|FIJI|Fiji|FIJI|Cakaudrove, Vanua Levu Island|Felsic|CALIBRATION|0.0148026315789|0.04|2.52|3.32|0.13|0.4|71.4|0.04|2.52|3.32|0.13|0.4|71.4|no|Massive pods and lenses, irregular pipe-like dissemination, plunges ESE at 20û-30û, represents an exhalative center. Surface gossan 750 x 50 m, underlain by thin zone of supergene ore. Possible eruptive center 500 m to the south of deposit. Island arc tholeiites.|anhydrite, barite, bornite, chalcanthite, chalcopyrite, covellite, enargite, galena, goethite, gypsum, hematite, idaite, kaolinite, malachite, marcasite, montmorillonite, pyrite, sphalerite, tennantite|pumice sediments-rhyolite pumice tuff (25 m)|Colley, Howard, 1976, Mineral deposits of Fiji (metallic deposits): Fiji Mineral Resource Division Memoir no. 1, 123 p. Colley, H., and Greenbaum, D., 1980, The mineral deposits and metallogenesis of the Fiji Platform: Economic Geology, v.
VMS.tab:1015|Copper World|USAZ|United States|USAZ|Arizona|Felsic|HELD_OUT|0.0164473684211|0.04|3.4|10.0|0|0|0|0.04|3.4|10.0|0|0|0|no|Massive, semi-massive. Surface gossans.|anthophyllite, biotite, chalcopyrite, chlorite, galena, magnetite, phlogopite, pyrite, pyrrhotite, sillimanite, sphalerite, tremolite|muscovite schist (rhyodacitic to rhyolitic tuff)|Conway, C.M., Hassemer, J.R., Knepper, D.H., Pitkin, J.A., Jr., Jachens, R.C., and Chatman, M.L., 1990, Mineral resources of the Wabayuma Peak Wilderness study area, Mohave County, Arizona: U.S. Geological Survey Bulletin 1737-E, 52 p. Donn
